Months Since Policy Inception,Months Since Last Claim,Number of Policies,Monthly Premium Auto,Number of Open Complaints
38,33,1,65,0
76,4,2,149,0
21,9,1,105,0
25,12,2,65,3
0,19,3,112,0
50,8,1,103,0
39,29,3,84,0
43,25,2,117,0
1,1,3,113,0
25,21,9,106,0
69,31,2,68,2
36,20,1,63,0
30,13,4,74,0
56,9,1,66,0
56,6,1,61,4
65,35,8,89,0
58,18,5,76,0
45,26,2,91,0
71,16,1,73,0
3,10,2,97,0
66,16,6,90,2
43,27,1,71,0
5,26,2,122,1
36,25,1,131,0
14,20,2,64,0
35,11,9,66,0
10,25,1,136,1
89,15,1,77,0
39,4,5,69,0
36,27,1,69,0
4,16,1,118,0
23,18,2,70,0
37,8,1,86,0
20,13,2,71,0
10,28,1,108,0
32,2,3,64,0
15,12,1,130,0
22,14,8,74,2
60,6,1,96,0
98,13,4,107,0
54,11,2,106,0
38,0,3,96,0
34,7,3,136,0
11,14,1,112,0
50,0,1,62,2
95,13,3,121,0
17,16,5,110,0
74,17,1,72,2
89,20,5,72,0
18,3,2,71,1
4,8,2,71,0
7,20,2,102,1
72,15,1,105,1
90,5,1,61,0
70,18,1,124,0
73,4,1,72,0
47,15,9,122,0
74,26,9,81,0
70,15,2,72,0
47,1,2,62,0
35,11,3,116,0
83,11,9,68,0
79,25,6,90,0
52,23,9,69,0
75,10,7,67,0
34,3,4,77,0
49,7,6,83,1
64,22,2,86,1
59,29,2,96,0
87,20,1,114,0
81,14,7,85,0
61,15,1,63,0
36,2,6,69,1
56,30,7,91,0
14,17,3,105,0
33,19,1,69,0
89,25,2,93,0
20,16,1,99,0
14,28,2,61,0
99,0,1,73,3
10,23,9,72,0
12,25,4,68,0
78,21,7,63,0
8,9,3,119,0
52,8,8,107,2
33,13,1,73,0
5,25,1,67,1
78,14,9,95,0
28,31,1,94,0
53,10,2,68,0
29,34,1,136,0
69,5,5,185,0
96,22,1,63,0
71,10,3,67,0
47,23,3,92,0
28,23,8,144,0
18,3,5,72,0
34,23,2,94,0
32,13,1,118,0
24,19,8,61,0
47,10,1,64,0
91,8,1,65,0
11,26,7,64,1
53,29,1,97,1
61,16,1,106,0
29,5,1,62,0
52,35,5,73,3
68,18,8,78,0
2,27,1,122,0
13,30,1,67,0
6,22,3,249,0
87,19,3,110,4
97,18,2,127,0
37,14,2,104,0
10,9,1,109,0
78,1,4,129,0
38,24,8,67,0
54,19,1,62,0
20,6,1,103,0
74,10,1,113,1
74,5,2,63,0
70,29,1,71,0
17,19,5,90,0
84,0,2,185,0
64,30,5,66,0
99,24,2,69,0
91,7,2,105,0
91,7,8,70,0
10,19,3,92,0
94,22,2,74,3
70,2,1,191,0
26,25,3,67,0
95,24,1,92,4
52,4,2,63,0
48,6,2,61,0
33,26,2,117,0
2,9,7,74,0
3,6,3,64,1
11,26,3,109,0
59,5,1,111,0
70,0,1,62,0
92,11,3,64,0
4,21,9,73,0
14,1,1,61,0
9,27,3,72,1
87,25,2,83,1
54,24,2,74,2
46,14,5,69,0
71,8,2,80,0
23,8,1,65,0
42,5,1,199,0
43,4,2,76,5
18,22,2,67,0
20,9,2,67,3
53,26,1,87,0
6,13,3,113,0
44,30,3,69,0
64,3,2,88,0
79,22,8,181,0
43,11,2,69,4
25,5,3,104,0
16,23,1,64,1
9,1,1,63,0
65,3,1,100,3
69,30,9,69,0
99,1,5,62,0
20,2,1,61,0
54,23,1,69,0
35,29,2,65,2
46,11,3,193,1
23,20,1,86,0
48,11,1,107,1
52,35,5,73,3
71,0,2,81,2
21,3,1,91,0
35,3,4,63,1
94,11,1,70,0
46,3,1,107,0
51,4,2,76,1
3,14,1,117,0
59,2,5,74,0
99,10,2,72,0
94,23,2,108,0
26,3,3,103,0
81,12,1,65,3
30,9,1,67,0
48,34,1,76,0
43,2,2,83,0
89,12,8,69,0
55,11,5,96,0
93,0,1,72,3
96,9,1,80,0
71,35,3,103,1
12,24,2,88,0
46,2,2,103,0
55,30,4,65,1
71,35,2,61,0
22,4,2,100,1
55,23,2,108,0
46,35,1,110,0
65,4,2,65,3
14,4,1,72,0
89,9,9,67,0
10,12,1,74,0
52,31,5,211,0
54,5,9,94,0
79,17,6,118,0
47,6,8,64,0
4,35,5,135,0
88,16,1,73,0
37,11,7,97,0
30,11,7,133,0
75,5,3,110,2
64,10,1,105,0
2,7,6,124,3
7,32,2,113,1
55,32,2,134,0
17,2,1,92,0
26,11,1,67,0
84,18,6,61,0
52,27,1,94,1
80,2,1,64,0
59,1,2,118,0
89,8,2,214,1
94,2,1,67,0
14,12,1,80,0
30,31,3,68,1
11,10,2,80,0
45,32,2,69,0
59,6,9,84,0
29,17,3,66,0
17,15,1,67,0
55,2,1,108,1
22,13,8,68,0
9,7,7,108,0
30,25,1,71,0
70,16,1,109,1
68,15,7,73,0
17,12,6,95,1
37,7,1,111,0
50,27,9,69,1
80,17,2,70,0
75,9,2,100,0
97,22,2,187,1
86,2,1,109,0
85,25,3,74,0
72,11,1,71,0
5,27,3,74,0
26,26,1,119,4
34,3,6,71,3
54,7,1,101,0
59,0,8,125,1
27,35,6,96,0
6,15,1,61,0
79,8,2,80,0
47,33,7,91,0
16,27,1,68,0
16,0,4,105,0
15,12,1,130,0
86,19,1,118,0
67,15,1,63,0
29,1,4,71,0
39,33,9,67,0
17,4,9,68,0
60,12,1,69,0
43,32,1,118,1
43,11,3,179,0
95,9,1,64,0
95,11,3,73,0
3,10,2,73,0
57,27,7,232,0
14,31,1,66,0
93,29,2,70,0
11,2,1,72,0
22,20,3,71,0
91,12,3,90,1
30,18,1,115,1
44,0,2,74,0
41,6,1,118,0
58,0,2,118,0
85,30,1,121,0
54,19,1,71,0
33,4,5,244,0
67,6,3,67,0
34,24,4,61,0
45,2,1,114,0
27,32,3,193,0
44,34,8,66,0
66,10,2,63,0
22,1,6,74,0
85,11,2,118,0
44,18,3,67,0
70,12,8,67,0
91,24,6,81,0
88,30,1,104,0
42,8,3,98,0
23,4,1,109,1
64,6,6,90,0
39,18,2,101,0
84,5,1,63,0
50,4,1,181,0
58,16,3,91,0
15,17,2,71,0
27,8,3,71,0
38,27,1,72,2
66,12,7,113,2
46,2,1,138,0
93,35,2,71,0
50,21,3,70,0
14,0,1,114,0
31,6,1,72,0
31,7,1,86,0
56,16,3,76,0
48,18,1,65,0
81,3,2,70,0
50,7,2,146,0
41,17,5,61,2
86,28,6,68,0
76,23,1,138,0
66,28,2,94,0
38,14,2,88,0
3,17,3,96,0
99,14,4,78,0
39,27,4,114,0
56,16,2,67,0
22,28,5,67,0
50,29,1,91,1
44,0,7,106,0
85,15,1,69,0
79,22,8,181,0
92,33,3,88,0
55,30,1,92,1
83,24,1,101,0
24,26,7,73,0
43,13,4,115,0
27,28,3,70,0
11,8,2,66,0
42,3,1,70,0
6,11,2,67,0
2,21,1,78,0
73,30,1,100,0
60,26,1,85,0
45,3,7,91,0
78,28,3,67,0
59,29,5,71,0
48,11,1,62,0
99,3,6,88,0
98,4,2,66,0
57,25,6,63,0
73,15,2,96,0
29,20,2,67,2
92,25,2,72,0
44,28,1,96,0
78,4,4,69,2
31,34,2,100,0
71,6,9,112,0
84,18,2,90,0
49,2,1,80,1
50,21,3,70,0
22,10,1,71,0
70,8,2,182,0
30,3,9,65,0
41,17,9,117,1
30,16,2,71,1
70,13,2,124,0
63,8,2,103,0
67,7,7,65,0
28,13,4,136,0
61,7,1,104,0
55,5,4,116,0
61,6,2,125,0
89,8,2,214,1
13,5,5,76,0
70,2,1,69,1
33,8,1,90,0
94,28,2,87,0
85,14,6,97,0
18,23,2,104,0
22,2,9,70,0
7,7,3,70,0
5,2,6,104,0
31,29,4,65,0
20,13,3,104,0
56,3,2,105,0
52,1,9,71,0
75,26,1,111,0
44,15,2,70,0
79,0,1,61,1
65,11,3,83,0
44,16,1,69,0
74,6,1,110,0
17,9,1,99,0
19,24,2,70,0
6,33,1,72,2
92,24,2,78,0
11,19,8,101,1
16,16,2,105,0
26,1,1,79,0
59,12,7,113,0
75,7,2,183,0
33,26,2,72,1
81,23,8,64,0
20,27,3,62,0
37,21,8,81,0
93,14,1,185,2
17,0,1,110,0
74,5,7,69,0
17,28,1,136,1
18,19,1,78,0
40,14,2,84,2
29,25,1,185,0
94,34,3,65,0
38,2,1,68,0
37,10,2,68,0
1,16,2,102,0
9,16,1,79,1
85,26,1,154,0
68,20,2,126,1
61,12,2,187,0
66,9,5,85,5
6,21,6,99,0
11,28,1,102,0
82,25,2,71,0
41,20,1,66,0
52,14,2,73,0
86,11,2,198,0
66,32,3,119,0
16,27,7,71,0
90,33,4,105,0
25,32,1,119,0
62,22,6,80,0
76,25,1,74,1
61,11,2,121,0
59,12,2,81,0
2,27,1,122,0
59,10,2,68,2
66,24,1,100,1
77,33,2,86,1
8,18,9,87,0
30,34,1,67,0
38,3,1,94,0
7,0,2,133,0
47,28,5,85,0
70,35,2,65,0
31,29,2,61,3
29,28,1,97,0
22,20,1,130,5
57,6,2,86,2
2,19,2,68,3
96,18,1,117,1
26,10,1,125,0
43,7,5,66,1
42,7,3,105,0
2,17,2,72,0
36,7,1,124,1
42,7,2,113,0
23,20,9,70,0
15,19,2,66,0
45,18,5,73,0
18,22,1,138,0
5,22,3,97,0
35,18,8,99,0
8,24,3,98,3
82,25,4,108,1
54,31,2,66,1
28,35,1,95,0
65,8,1,106,0
80,34,2,104,0
39,10,1,62,0
20,9,1,143,0
81,33,2,63,2
10,24,9,114,3
57,13,4,80,1
55,13,6,71,0
2,22,2,71,0
0,3,2,117,0
66,17,1,70,0
96,5,3,140,0
62,13,9,83,0
14,30,2,109,0
55,16,1,61,0
99,16,9,71,1
75,4,2,110,1
99,20,9,69,0
40,12,6,82,0
72,5,3,68,1
25,13,3,68,3
98,25,3,62,0
13,30,6,211,0
65,3,3,107,0
22,6,1,68,1
8,24,3,106,0
9,13,2,92,0
4,29,3,104,0
61,19,9,61,0
35,32,4,73,0
11,0,3,113,0
68,5,9,65,3
37,0,2,97,2
74,21,2,66,0
69,32,2,95,0
16,24,6,96,0
16,19,1,67,0
86,22,3,61,0
71,18,8,67,1
18,17,1,103,0
30,11,1,106,0
32,19,2,104,0
5,9,2,61,0
84,33,1,76,0
27,28,7,79,0
65,30,8,65,0
48,8,2,66,0
80,7,1,92,0
85,27,5,77,1
95,0,1,74,0
50,16,7,103,0
15,7,3,137,0
80,5,2,64,0
75,0,1,69,0
95,14,1,190,0
21,15,3,106,0
79,13,1,115,4
77,10,2,102,0
63,2,2,78,0
37,27,7,109,0
38,2,1,108,0
49,2,9,70,0
67,12,1,121,2
58,1,1,95,0
35,2,1,73,0
73,0,1,186,0
0,9,2,72,0
13,33,1,123,0
70,17,3,89,0
51,2,1,126,0
48,7,1,118,1
51,29,9,63,0
99,0,8,62,0
67,3,1,61,0
46,29,2,105,0
88,24,3,110,1
37,6,1,128,1
53,7,3,68,3
76,33,7,68,1
79,4,1,74,2
48,21,7,100,0
19,28,7,83,0
71,24,2,66,1
65,17,2,77,0
68,2,1,64,0
69,10,1,82,0
59,5,9,83,0
43,16,8,71,0
2,24,2,68,0
86,7,1,73,0
11,5,9,96,3
13,7,1,136,0
55,14,1,73,0
38,1,2,106,0
16,10,6,64,0
26,10,1,125,0
28,14,1,79,0
63,5,2,68,1
79,18,2,124,0
3,10,2,97,0
20,11,1,116,0
32,10,7,110,0
1,22,3,66,1
12,25,2,102,0
29,12,1,70,1
77,30,1,62,0
61,34,9,131,0
37,18,1,66,0
18,4,9,61,0
23,16,3,71,3
24,25,6,85,0
17,33,1,65,0
5,3,8,73,0
32,21,2,85,0
88,15,2,82,2
57,13,2,74,0
29,16,3,82,0
94,13,9,119,0
33,6,2,92,0
64,4,1,62,0
74,6,1,110,0
38,10,2,158,0
41,17,9,117,1
78,8,1,111,0
22,7,1,62,0
87,33,1,92,0
7,23,1,76,0
42,11,5,116,0
65,29,3,62,0
71,34,6,71,0
8,21,1,71,1
91,19,3,117,0
65,4,1,69,0
46,4,9,119,0
26,21,3,104,0
17,4,7,105,0
89,4,2,117,1
24,13,1,71,0
22,7,3,61,0
22,21,3,104,0
47,9,1,66,0
52,27,7,63,0
35,23,1,92,4
32,3,1,71,0
69,19,9,86,0
55,16,1,137,4
51,22,1,103,0
37,16,2,137,0
45,29,2,118,0
35,6,1,65,0
33,25,1,68,0
47,0,4,73,1
9,3,7,99,1
15,13,2,69,4
43,14,4,74,0
6,20,1,99,4
23,28,2,181,0
74,18,1,63,0
33,12,7,94,0
74,32,5,112,0
8,9,3,119,0
2,27,1,122,0
52,27,7,63,0
87,13,1,99,0
97,12,8,70,0
22,9,6,139,0
1,1,1,64,0
93,22,2,89,0
68,22,7,79,1
56,2,6,101,0
75,7,1,92,0
32,21,2,85,0
60,8,1,68,0
51,28,4,212,0
51,3,1,139,0
29,23,1,96,0
2,31,7,63,0
47,27,1,98,0
89,16,1,124,0
14,4,2,64,0
60,11,3,66,0
67,1,1,123,3
77,10,9,97,1
7,11,3,111,0
49,9,1,181,0
59,21,3,129,0
3,11,1,72,0
39,11,1,112,0
64,16,8,69,0
58,4,3,85,0
4,25,1,72,0
49,4,1,67,0
70,16,1,109,1
0,1,6,73,0
93,22,2,89,0
87,3,8,70,0
99,27,1,78,2
2,6,1,69,1
57,0,5,84,0
74,12,8,116,2
53,21,7,79,1
91,14,2,64,0
3,25,2,66,0
49,28,1,124,0
62,5,8,83,4
27,29,2,82,0
31,12,2,133,0
92,14,1,112,0
84,11,3,108,2
54,3,1,95,0
96,32,1,207,0
84,1,3,197,3
35,10,2,62,0
59,29,1,62,2
48,1,2,109,0
68,12,3,62,0
55,7,2,80,0
11,10,1,129,0
43,16,1,283,0
77,35,1,74,0
48,35,2,102,0
10,9,3,71,1
49,24,1,118,1
70,20,1,73,3
52,3,1,240,0
44,23,9,114,0
51,29,5,71,0
38,10,1,196,0
10,3,2,158,0
96,31,1,61,0
50,2,1,69,0
66,1,2,97,0
57,27,1,61,0
49,21,1,63,0
81,33,6,117,0
51,34,1,73,1
60,2,3,72,1
67,18,3,68,1
89,6,1,117,0
49,2,7,71,0
44,8,3,76,0
21,17,6,61,0
61,10,2,64,0
30,32,7,66,0
2,3,3,68,0
40,21,1,65,0
72,17,8,76,0
1,19,2,76,0
39,1,5,114,1
75,8,1,103,0
28,0,1,82,0
95,7,1,64,0
66,17,3,68,0
43,5,2,117,0
66,30,5,93,0
76,14,1,90,0
0,27,3,70,0
13,9,1,112,3
37,22,1,70,0
36,9,1,119,1
51,12,2,119,0
12,21,1,63,0
98,1,2,70,0
55,10,2,115,0
59,32,2,89,0
51,20,1,106,0
22,28,5,67,0
27,34,2,65,0
58,15,3,85,0
11,10,3,65,0
51,3,1,139,0
56,8,1,119,3
11,28,1,102,0
18,1,1,99,0
5,3,2,90,0
27,12,1,62,0
61,4,1,71,2
24,33,1,154,0
81,9,3,90,0
15,13,1,64,0
17,8,2,101,0
28,20,2,102,0
13,8,1,74,0
69,31,6,66,4
16,10,2,66,1
39,9,1,61,0
57,20,9,112,0
27,5,2,85,2
6,12,9,111,0
62,16,6,64,0
54,11,4,86,2
96,16,3,69,1
67,3,2,67,0
59,8,1,71,1
84,23,2,72,0
18,1,1,68,0
37,2,1,73,0
32,30,5,67,0
15,21,2,101,1
36,7,3,68,0
18,13,2,70,0
56,7,1,66,0
63,32,6,119,0
75,35,7,64,1
91,0,2,65,0
48,7,2,72,0
74,13,1,196,2
46,29,3,83,0
69,1,1,90,0
4,8,1,98,0
11,13,8,240,3
15,5,2,85,1
15,24,2,105,0
29,28,7,61,0
30,17,1,83,0
59,12,2,115,0
98,1,6,93,0
88,9,8,63,0
94,14,2,69,0
17,5,2,66,0
9,6,2,134,0
24,33,1,154,0
14,25,1,63,0
20,35,2,70,0
30,23,2,86,0
18,15,3,72,1
11,7,1,118,4
17,9,1,99,0
44,0,1,79,0
77,16,2,66,0
31,24,2,111,0
12,3,2,68,1
89,3,1,74,0
78,1,5,109,0
87,21,2,76,2
46,1,1,118,0
63,19,2,62,0
52,35,5,73,3
99,31,1,72,0
48,29,5,77,0
75,2,5,125,0
71,14,2,74,0
87,33,3,88,0
33,14,1,73,1
74,29,2,108,0
88,35,6,124,2
79,22,2,70,1
78,1,9,69,0
16,29,3,96,0
35,9,1,70,0
61,6,1,65,0
57,29,7,107,0
48,13,9,70,0
20,34,1,124,0
26,7,1,99,0
77,8,2,91,1
80,15,1,116,0
13,34,2,106,0
45,7,2,62,0
83,20,7,85,0
83,15,5,79,0
10,9,1,66,1
65,10,1,173,0
72,3,1,71,0
51,15,3,66,4
16,2,1,114,0
63,10,5,80,0
78,3,1,91,0
20,24,1,66,0
44,21,2,118,0
97,13,1,95,0
71,2,6,72,0
34,20,2,112,0
82,3,3,87,0
81,21,1,96,0
39,22,2,114,0
27,16,9,79,1
8,5,2,92,0
59,5,1,158,0
17,32,5,70,0
59,11,8,112,0
30,16,1,96,2
61,28,1,106,0
64,0,2,108,0
33,26,3,62,1
19,8,1,73,2
14,29,1,73,0
34,17,3,66,0
10,11,3,63,1
32,6,5,118,0
8,16,1,102,0
80,5,6,64,0
91,22,2,119,2
27,24,1,61,0
36,29,9,64,0
98,6,8,86,0
50,21,7,112,0
31,7,1,108,0
90,15,8,131,0
67,10,7,63,1
95,15,6,62,0
58,24,1,72,0
24,14,1,92,0
77,23,3,117,0
90,21,2,64,0
53,21,7,79,1
52,1,2,74,1
43,7,5,66,1
12,17,3,66,0
11,8,1,64,0
21,26,3,69,0
13,29,2,83,0
8,24,6,117,1
11,22,1,69,0
35,16,1,66,4
41,4,1,71,0
15,28,1,71,0
84,13,1,64,0
50,5,1,65,0
75,33,2,90,0
12,21,1,63,0
7,27,9,131,0
71,28,1,68,4
70,33,7,84,0
82,6,1,67,0
64,8,2,63,0
61,30,2,79,0
59,9,9,74,0
77,29,3,82,0
42,10,1,73,0
74,33,3,84,2
23,24,8,69,0
29,28,3,69,2
29,4,2,104,0
32,23,6,133,0
14,18,2,69,0
64,5,4,109,0
1,1,6,63,0
3,17,3,72,0
36,1,3,190,0
96,26,2,65,1
83,19,2,105,0
40,24,8,63,0
55,24,8,136,0
92,19,2,117,0
8,7,6,94,0
59,16,9,73,0
54,11,2,106,0
0,23,8,74,0
29,5,2,110,0
6,13,1,87,0
35,21,5,61,0
3,25,3,81,0
68,21,8,93,0
10,5,3,61,2
42,31,1,131,0
32,22,6,131,0
68,30,1,77,0
93,25,4,109,0
10,14,1,68,1
50,35,2,69,0
77,30,1,62,0
69,4,1,136,0
18,5,6,64,1
38,32,4,130,0
51,34,2,65,0
1,27,2,64,0
51,15,2,65,0
28,10,9,65,0
68,2,1,64,0
30,20,2,64,0
83,9,6,73,0
65,6,3,111,2
31,9,2,65,0
19,29,2,180,3
64,14,4,118,0
10,25,3,69,0
62,14,3,111,0
80,7,2,126,0
98,33,3,89,0
18,2,1,108,0
84,27,3,129,1
43,17,7,63,0
20,25,1,98,0
83,0,1,62,0
2,30,9,101,0
19,20,3,118,0
80,34,1,74,0
27,26,7,61,0
80,22,1,95,0
94,0,9,184,0
77,16,2,66,0
52,24,1,107,0
14,9,6,74,0
9,16,2,65,0
50,8,1,103,0
91,6,1,88,0
53,32,6,63,1
46,3,3,130,0
42,3,1,67,1
15,19,2,114,0
99,20,3,110,1
14,25,3,63,0
78,6,7,90,0
9,1,1,67,0
45,15,2,72,0
60,0,1,70,0
28,31,1,84,0
66,14,3,84,0
29,19,2,238,0
41,1,2,88,0
89,21,7,62,0
85,1,2,133,0
41,4,1,71,0
75,7,1,91,0
61,20,1,71,0
86,28,3,96,0
60,22,3,72,0
73,10,2,61,0
74,20,4,118,0
25,25,4,69,0
74,13,1,62,0
60,29,3,111,0
6,11,9,91,0
0,3,6,67,0
4,12,2,126,0
67,7,3,67,0
69,10,1,82,0
72,24,1,67,0
77,19,1,114,0
11,0,2,107,0
93,27,2,81,1
59,32,4,63,1
28,19,3,108,0
46,16,1,61,0
75,13,7,70,0
11,4,1,153,1
40,0,1,97,0
52,11,2,68,0
18,7,2,90,0
42,19,2,132,0
14,17,7,81,0
32,17,3,73,4
73,1,1,63,0
7,8,1,68,0
49,1,9,73,0
67,2,9,71,0
43,3,2,101,1
28,17,7,105,0
50,16,1,92,0
84,17,2,82,0
90,7,2,66,5
4,14,4,132,0
41,5,2,82,0
15,4,7,61,0
21,30,6,182,0
21,23,2,116,0
23,7,8,116,0
32,23,1,64,1
1,14,1,73,4
98,19,1,119,0
9,25,9,95,1
77,0,1,64,3
62,11,1,62,0
91,29,5,136,0
23,8,8,116,0
40,15,1,114,0
79,25,7,197,0
66,30,3,126,0
60,16,1,66,0
63,3,2,74,0
43,25,1,88,0
10,28,1,108,0
27,5,2,96,0
71,29,2,135,1
15,32,2,68,1
82,16,3,137,2
58,9,2,82,0
64,21,8,98,0
49,8,1,73,0
25,10,1,111,0
62,3,5,72,0
10,3,1,192,0
43,4,1,98,2
82,14,1,65,0
17,9,2,89,0
99,21,1,64,0
91,5,2,80,2
44,8,3,76,0
77,25,1,92,0
97,1,3,107,0
52,3,1,68,0
38,4,3,105,0
45,15,1,126,0
0,8,6,63,0
97,5,2,109,1
32,9,1,71,0
78,2,4,190,1
71,4,2,108,0
96,26,2,73,0
20,13,1,82,0
16,0,3,68,2
59,27,1,112,0
70,28,1,229,0
87,2,2,91,0
69,24,3,73,1
9,4,5,74,0
73,3,2,63,2
56,10,3,65,1
95,1,1,92,0
19,28,1,72,0
26,24,1,73,0
36,6,1,77,0
85,11,8,68,0
69,10,1,82,0
62,16,2,71,2
69,1,1,90,0
37,15,3,95,0
19,23,2,64,0
44,26,1,70,1
50,27,7,89,2
19,13,8,129,0
94,14,2,69,0
42,6,8,65,0
11,1,3,73,0
28,30,5,98,0
15,20,7,130,0
58,14,6,109,0
84,2,1,111,0
59,17,1,74,0
75,15,6,185,1
10,1,2,67,0
35,29,7,101,0
78,21,1,100,0
70,1,2,87,0
13,6,7,72,2
94,2,5,108,0
68,5,9,65,3
87,17,7,220,0
63,25,7,90,2
33,24,1,74,0
23,26,1,73,0
79,14,1,103,0
81,26,1,62,0
84,13,1,104,1
21,31,1,104,2
22,24,4,67,0
70,35,2,68,0
77,1,3,116,1
54,5,2,96,0
73,14,2,66,1
5,12,7,106,0
24,34,4,118,0
99,3,1,80,1
74,19,2,69,0
48,30,2,72,0
77,29,1,65,1
83,35,5,113,0
56,5,4,223,0
39,21,1,126,0
19,33,4,67,0
3,11,1,72,0
49,28,1,124,0
87,12,8,108,0
89,22,2,131,0
50,10,1,70,0
19,30,7,68,0
93,23,2,146,0
75,15,1,116,1
16,0,9,74,1
30,32,7,66,0
44,19,6,87,3
37,14,1,199,1
20,13,2,110,0
75,6,1,63,0
21,5,1,102,0
18,33,4,113,0
30,1,2,65,0
80,21,2,106,0
90,28,5,96,5
94,17,3,65,0
75,2,6,103,2
22,28,1,118,2
96,28,6,68,0
24,17,2,63,0
56,15,2,104,0
60,16,5,106,0
77,13,1,91,0
97,14,1,61,0
12,18,2,78,0
77,30,1,62,0
57,1,5,99,0
7,15,2,62,0
48,35,2,102,0
70,33,7,84,0
11,23,2,94,3
79,7,4,79,0
28,14,1,79,0
33,13,1,65,0
50,2,1,106,0
22,7,6,65,0
35,8,1,90,0
95,20,4,69,0
10,6,7,111,0
59,25,1,113,0
56,13,1,134,0
92,9,1,93,0
58,28,3,124,0
60,8,1,91,0
76,20,2,64,1
9,11,2,119,0
0,11,1,73,0
37,31,9,65,0
32,33,1,81,0
33,26,2,73,0
63,10,1,78,0
96,22,1,63,0
80,15,1,116,0
72,5,3,80,0
64,15,2,72,0
83,21,2,68,2
21,16,3,67,0
71,9,3,72,0
0,13,7,63,0
79,12,3,62,0
55,33,1,73,4
10,23,4,74,0
18,14,8,64,0
82,13,2,64,1
92,18,2,135,0
92,10,2,137,0
39,22,6,114,0
65,4,1,69,0
84,5,2,127,0
15,0,7,178,0
50,16,1,139,0
3,24,2,139,1
55,10,2,87,1
3,5,1,81,0
89,32,3,64,1
72,14,1,67,0
32,23,2,69,1
90,17,2,91,0
98,5,1,95,0
38,3,1,94,0
70,6,2,76,1
84,21,7,69,0
2,33,7,78,0
81,9,3,65,0
17,5,7,78,0
31,23,2,80,0
65,4,2,73,1
47,29,2,91,1
42,7,8,88,0
11,24,2,74,1
63,1,1,110,0
13,22,4,73,0
84,16,3,80,0
87,6,1,87,0
84,5,3,198,2
0,11,1,113,0
69,28,1,105,0
58,6,3,85,0
68,4,1,100,0
21,16,2,121,3
5,25,1,153,0
54,3,3,119,0
53,4,1,105,0
82,24,2,74,0
56,22,9,134,0
61,3,2,85,0
50,3,3,67,0
49,9,1,62,0
90,30,2,65,0
5,24,1,102,0
59,17,1,184,0
65,29,7,183,2
80,25,3,71,0
29,28,1,72,0
29,28,8,70,0
87,11,3,67,0
37,12,1,71,0
51,33,2,102,0
60,26,2,99,0
41,5,3,62,0
65,8,2,73,0
33,15,1,193,0
64,18,1,69,1
50,22,2,80,2
32,25,6,62,0
37,21,1,96,1
17,15,2,108,0
54,22,5,81,0
87,7,8,61,0
45,7,2,190,0
61,2,1,101,0
84,3,6,71,0
44,4,1,65,2
31,33,2,61,0
52,2,5,64,2
56,3,2,105,0
59,12,7,113,0
93,4,1,73,1
95,1,3,137,0
80,24,8,93,0
16,0,2,113,0
49,11,5,106,0
54,3,1,95,0
73,21,1,68,0
14,7,1,91,1
83,2,3,92,0
22,29,2,116,0
36,34,2,106,1
52,33,1,81,1
11,20,1,138,0
7,27,7,67,0
25,33,5,68,0
89,4,3,70,0
68,33,7,93,0
68,24,9,193,0
61,34,9,131,0
24,10,1,105,0
7,15,2,62,0
60,15,2,115,0
44,18,1,107,0
99,6,1,65,0
85,2,2,124,0
87,15,2,180,0
21,4,1,215,1
61,21,1,63,0
17,34,2,199,1
85,20,1,104,0
39,16,1,65,5
60,10,3,68,0
4,12,2,126,0
91,33,1,276,0
61,12,6,72,0
63,29,1,93,0
7,12,2,92,0
37,2,4,65,0
50,6,1,70,0
27,24,1,106,0
37,2,4,65,0
63,3,2,74,0
9,4,3,71,0
76,23,1,74,0
5,14,2,111,0
61,1,1,113,0
18,14,2,131,2
18,31,7,74,0
64,20,1,72,0
21,4,1,215,1
85,6,2,73,0
12,21,1,63,0
6,7,7,139,0
8,2,3,114,0
78,14,8,72,0
40,2,5,137,0
24,7,1,210,2
45,18,5,73,0
99,35,3,62,0
57,35,1,103,0
56,28,1,68,0
47,4,2,73,0
22,16,2,104,0
15,13,1,69,0
64,3,3,72,0
82,6,3,61,0
6,11,1,61,1
77,1,1,63,0
54,34,3,68,1
36,34,2,106,1
28,9,2,72,0
48,16,1,128,0
66,23,1,64,0
45,35,2,204,0
94,22,1,63,0
3,13,2,87,1
87,17,4,64,0
19,26,8,82,3
71,2,2,63,0
94,8,7,152,0
96,30,3,104,0
75,2,2,115,0
63,7,1,63,1
8,2,1,63,0
4,1,4,70,1
92,1,1,62,0
8,10,7,112,0
39,33,5,72,0
2,18,1,133,0
19,26,8,82,3
44,11,3,69,1
89,12,1,69,0
76,1,3,72,0
58,26,1,117,0
26,19,1,62,0
57,8,2,65,0
34,33,1,63,0
38,3,2,76,0
39,18,2,101,0
25,26,3,97,0
22,12,1,137,1
78,28,3,61,0
4,4,1,87,3
15,21,2,113,0
84,18,2,90,0
87,28,5,72,0
73,26,1,88,0
3,15,3,61,0
74,2,3,107,0
53,6,6,65,0
17,20,1,94,0
66,30,5,93,0
15,25,3,207,0
61,34,9,131,0
6,5,1,69,0
65,4,1,69,0
8,19,8,74,0
67,16,7,68,3
90,34,1,89,0
85,23,9,73,0
36,8,6,61,0
76,2,1,66,0
61,10,2,61,0
22,20,2,132,0
72,8,2,68,0
22,5,1,100,1
26,33,2,82,0
